time,kind,level,count,side,res,cost
2023-04-25 17:00:00,LEVEL,27517.466666666664,3,-1,-1,0.023365677793698816
2023-04-25 17:00:00,LEVEL,27640.25,6,-1,-1,0.023469935785172223
2023-04-25 18:00:00,LEVEL,27737.2,7,-1,1,0.02389528604118996
2023-04-25 20:00:00,LEVEL,27811.6125,8,-1,-1,0.021642751878602165
2023-04-25 20:00:00,LEVEL,27899.675,4,-1,-1,0.021711281340434315
2023-04-25 20:00:00,LEVEL,27978.833333333332,6,-1,-1,0.02177288165819572
2023-04-25 21:00:00,LEVEL,28100.475000000002,4,-1,-1,0.020881387734249808
2023-04-25 21:00:00,LEVEL,28172.842857142856,7,-1,-1,0.020935164095129716
2023-04-25 23:00:00,LEVEL,28304.059999999998,5,-1,-1,0.02045968781766019
2023-04-26 20:00:00,LEVEL,27282.68571428571,7,1,1,0.009780602745338412
2023-04-26 20:00:00,LEVEL,27407.7,3,1,1,0.009825419266661436
2023-04-26 20:00:00,LEVEL,27517.466666666664,3,1,1,0.009864769650732476
2023-04-26 20:00:00,LEVEL,27632.157142857144,7,1,1,0.009905885177189076
2023-04-26 19:00:00,LEVEL,27737.2,7,1,-1,0.010862690001223833
2023-04-26 19:00:00,LEVEL,27811.6125,8,1,-1,0.010891832089095574
2023-04-26 19:00:00,LEVEL,27899.675,4,1,-1,0.01092631991188348
2023-04-26 19:00:00,LEVEL,27978.833333333332,6,1,-1,0.010957320605393048
2023-04-26 19:00:00,LEVEL,28100.475000000002,4,1,-1,0.011004959001346216
2023-04-26 19:00:00,LEVEL,28172.842857142856,7,1,-1,0.011033300347920336
2023-04-26 03:00:00,LEVEL,28304.059999999998,5,1,1,0.020315589350200735
2023-04-26 00:00:00,LEVEL,28393.359999999997,5,-1,-1,0.020275540480228473
2023-04-26 06:00:00,LEVEL,28508.5,5,-1,-1,0.02021431420341235
2023-04-26 08:00:00,LEVEL,28604.8,3,-1,-1,0.019895098785020316
2023-04-26 09:00:00,LEVEL,28805.575,4,-1,-1,0.01958896633798027
2023-04-26 10:00:00,LEVEL,29057.033333333336,3,-1,-1,0.018679438038223035
2023-04-26 12:00:00,LEVEL,29540.0,3,-1,-1,0.015522858644245914
2023-04-26 12:00:00,LEVEL,29930.5,3,-1,1,0.01572806095638464
2023-04-26 08:00:00,CONTROL,28699.987390823342,5,-1,-1,0.019961303147348272
2023-04-26 08:00:00,CONTROL,28711.897346008987,5,-1,-1,0.019969586712866774
2023-04-26 10:00:00,CONTROL,28932.73485567252,5,-1,-1,0.018599532230734864
